variant,to,d_pos,d_neg,OAAS1,OAAS2,OAAS3,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio
NEG_038,NEG,15.660587874941449,15.603248825371967,0.9252431919246483,0.14378776161050347,-15.349210450906204,6.653523156111493,0.4228791264082465,7.187764525413513,0.05226372893508345,0.06560308745407398,0.11082451045513153,4.480367553278867,0.8681967827709687,0.7619332409497597
NEG_020,NEG,15.761030992238322,15.702223530277866,0.7604745302741607,0.015931622482450704,-15.475551171622591,6.535270361471464,0.43853601744508286,7.108300805091858,0.04988081461474845,0.06601961682602447,0.107492471113801,4.416667060825533,0.9398361762214611,0.7881645100221645
NEG_011,NEG,15.821096474366856,15.760087684938526,0.5084352024402613,-0.17821903840913061,-15.568314597035931,6.34675375973674,0.44628152709635627,6.963740348815918,0.04780000999322909,0.05988313200876666,0.1107855774462223,4.349653464363403,0.9673566907444157,0.8253226924302146
NEG_034,NEG,16.03811363539751,15.97636521423135,0.4190809084082154,-0.25038241743887557,-15.796932737636814,6.293573887882985,0.4624167445642933,6.937469840049744,0.044979667222843106,0.06529111743707976,0.10841793939471245,4.249060477548343,1.0218026086449592,0.8423287497785771
NEG_032,NEG,16.04627306260545,15.98629758786031,0.565491873337882,-0.09333697016050864,-15.790069622172346,6.408396943413063,0.4563767510707066,7.0231428146362305,0.04645533670435888,0.06774443278552154,0.10931313037872314,4.245537785675438,0.9963236315859847,0.8144356265775711
NEG_002,NEG,16.128685778043938,16.072129747804485,0.8334500936687795,0.20720396213236378,-15.838337981015268,6.621096608734538,0.43055997917967315,7.169532060623169,0.051302340072359516,0.06779839064283401,0.11259783245623112,4.159383185645439,0.876228876148315,0.7649883639859744
NEG_019,NEG,16.376960574784544,16.313988870226797,0.27316970206375896,-0.37348652811356825,-16.151969665135645,6.15583201078516,0.4785311028914919,6.834760665893555,0.04253811587060087,0.06804503281722318,0.11099674366414547,4.0500892985031145,1.0557198739427542,0.8651961279900966
NEG_033,NEG,16.390521681318365,16.32712725408598,0.39917748529547,-0.4076931215834625,-16.14900490874686,6.158688240444537,0.48081454640495064,6.843763470649719,0.043882888108521693,0.06931692498666026,0.11807965114712715,4.065568503568464,1.0620979587019213,0.8671425896103305
NEG_031,NEG,16.432547698799446,16.36911009541833,-0.1287889220583108,-0.43124011273785395,-16.247433995633116,5.899687078555962,0.47507278942365627,6.607357740402222,0.039833114170917956,0.05733997528545553,0.11482910811901093,3.9250925183567897,1.1894326767878094,0.8766897081987851
NEG_026,NEG,16.45408306456279,16.39074129954708,-0.1357820098481785,-0.42385598897399035,-16.27003650101008,5.901975350239249,0.47197898547947265,6.616700530052185,0.04006026629476063,0.05615885243343174,0.11650707758963108,3.904091092533271,1.2204321900684088,0.8820572124016429
NEG_039,NEG,16.8428095016487,16.7786611791667,0.06518414240037121,-0.5056047126930486,-16.6379527134571,5.911582114727862,0.5006556768937849,6.627588868141174,0.04021593487879127,0.06916621467741094,0.11817869544029236,3.7434410859415923,1.1804397894902399,0.8867571483493234
NEG_014,NEG,16.89999150726013,16.828261543634856,6.3019398004469025,-1.3678793154890092,-14.731731306280915,6.549864825429418,0.43294207651487726,7.168818712234497,0.15388566708749102,0.06944122376499816,0.25177254527807236,4.579812309885731,1.1437655369834128,0.8891507811402054
NEG_009,NEG,21.149750489911337,21.083007245191123,14.369932542093432,-2.2769460389992275,-13.494669765908748,7.359439440482119,0.5022556183624413,8.27028775215149,0.28713441752440305,0.09160610045893422,0.45651817321777344,5.092796758207244,1.0966131036067266,0.8870665398407547
NEG_030,NEG,22.280486893645765,22.21554076621683,15.840837155504449,-2.3778048435799986,-13.470955153567063,7.504569704321581,0.48800809083351665,8.389269590377808,0.31645959310850724,0.09151022670556298,0.48451002687215805,4.95998542967029,1.125951904225109,0.8872823165811656
NEG_000,NEG,22.397405817217454,22.332544025179466,16.021785352691523,-2.4109282707312447,-13.422682192424459,7.522454254406014,0.48944848791411866,8.412273406982422,0.3191082841464094,0.09238157489669895,0.4899081513285637,4.993273427468206,1.1142354494226538,0.8873374214973072
NEG_001,NEG,25.202724002763734,25.142119490385287,19.78896585206089,-2.7396415032330674,-12.836364964749842,7.916539730145929,0.44654395176293915,8.714953422546387,0.3941530855660586,0.08884890584350069,0.5539560914039612,4.991251491428079,1.1190366674942867,0.8826466534281435
NEG_037,NEG,25.711596335888487,25.651378813899274,20.452015285432413,-2.8500375693336726,-12.696077358272763,7.97330025536625,0.49881267939093743,8.886586427688599,0.39826250016435033,0.0996538862431159,0.5815911889076233,5.184810242932578,1.0857072943693005,0.8726925426450461
NEG_006,NEG,26.843539081103135,26.784795805470864,21.917644470266605,-3.006339743473385,-12.364225294221061,8.131773729659974,0.4844335037676151,9.005927324295044,0.4271910702905704,0.09779585834127306,0.6055784672498703,5.257211368513546,1.06648066699302,0.8727698797643036
NEG_003,NEG,27.450408501374078,27.393152973016495,22.645761095822316,-2.94884904186643,-12.304119262758576,8.234742423117563,0.5083415066738687,9.126565217971802,0.4354317832328949,0.1062702689739648,0.6293983608484268,5.318920866575377,0.9950751550687205,0.828382488879719
NEG_021,NEG,28.076606352788655,28.021262485682197,23.40662598969022,-2.8274456267111745,-12.224139363612915,8.342387824985764,0.5394822811033124,9.261990070343018,0.44318258066830835,0.11702722226822233,0.6528764963150024,5.39844400218259,0.9254093887126446,0.7636967838847658
NEG_012,NEG,29.685845517329877,29.631806843042494,25.373681975036728,-3.106582232095025,-11.760392450421987,8.518573725473571,0.5036328277100087,9.344879627227783,0.48514837738546324,0.1115761198553647,0.6775457412004471,5.46086116173499,0.9204347704078945,0.7770130492841616
NEG_027,NEG,29.726170941582954,29.671775986751754,25.41742650847626,-3.177886599104451,-11.741151966795469,8.505196346661988,0.477206434007105,9.315540552139282,0.4903864944231201,0.10451389209138899,0.6733195781707764,5.400067769928246,0.986726196900924,0.8073849117553717
NEG_025,NEG,30.372105051375023,30.319145144937234,26.181703643415194,-3.1165215505689856,-11.627236050183557,8.593733719562323,0.49634245767388785,9.398624897003174,0.5010002123776637,0.11143734594531883,0.6916168928146362,5.457708448974985,0.9566180027002739,0.7604852060197704
NEG_013,NEG,30.50031085289055,30.448223365507065,26.335757272125285,-3.000380045793063,-11.626672471393249,8.637386223535033,0.5304994704260173,9.453141212463379,0.49787719736065766,0.12116480765087144,0.7013433575630188,5.533811591073391,0.7841441265211732,0.7025312191097007
NEG_029,NEG,31.71417465319168,31.662609023105524,27.754483545925577,-3.255256364123164,-11.299154006741741,8.754606728786003,0.48494890547490316,9.48608660697937,0.5319667185911325,0.11146432518050546,0.7133704125881195,5.513222045455558,0.8280812595123894,0.7380189730875897
NEG_018,NEG,32.47593495517711,32.425011191353576,28.668082018223142,-3.3806696020727256,-11.009209775328735,8.832707800816015,0.4408861567498717,9.504521131515503,0.5552356684924105,0.10264126794810788,0.7192427814006805,5.519645060048908,0.8896213681973056,0.7552781259206935
NEG_028,NEG,32.60777690602134,32.55723370732101,28.820948985421747,-3.346223919664354,-10.988740677819994,8.84523239857863,0.4578650182087782,9.527043342590332,0.5554155208835219,0.10723329898511137,0.7257310301065445,5.560621623537637,0.921147044485635,0.7371150997823734
