variant,to,d_pos,d_neg,OAAS1,OAAS2,OAAS3,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio
NEG_038,NEG,15.572826047898307,15.51389690177303,0.21233325637669584,-0.005481229665159966,-15.359866987318792,6.7696437405980525,0.32025315669287807,7.293040871620178,0.046584433248253995,0.039007974854064494,0.12392331473529339,4.4501674609739625,1.1866770500578823,0.925823798367471
NEG_020,NEG,15.829187423277286,15.77000403908059,0.051078133816230234,-0.03646386881860708,-15.635507884936217,6.676500573515934,0.3075117759324551,7.17118227481842,0.045290849060088345,0.040200813838126084,0.12248308584094048,4.268973284463305,1.2125074979729027,0.9301158361678945
NEG_002,NEG,15.9055107438042,15.84760673228777,0.0688029312856302,0.07217294205447836,-15.712165183584672,6.743218433547605,0.31771662572798287,7.249861478805542,0.04550369945073343,0.03897998072352586,0.12244320102035999,4.201704393043992,1.190238073313811,0.9236738620346744
NEG_031,NEG,15.910242302824068,15.851765828570876,-0.6323002986363274,-0.005419958748558664,-15.775301292760393,6.3215524630744895,0.27283371328566297,6.770711541175842,0.03832616113520923,0.034957984275517606,0.11105350963771343,4.117865275190615,1.257662888456604,0.8867102314832425
NEG_026,NEG,15.967795125855023,15.909312774543872,-0.5699172755642432,-0.0038496290883583556,-15.828981926454261,6.326419747430915,0.27651295938658454,6.786829233169556,0.03921325995122972,0.03520770266699239,0.11517558433115482,4.0832158982101205,1.3150639105234554,0.8928466274897899
NEG_039,NEG,15.979299359705117,15.92111991933173,-0.6424001893023761,0.018587474236247577,-15.845538987508123,6.325403840695248,0.27820184450282065,6.791456580162048,0.03734393757306122,0.03643484660745939,0.11325199902057648,4.08642066799293,1.3337069699267328,0.8903171762404859
NEG_032,NEG,16.00140404616378,15.94212071567,-0.10361941388050146,-0.05369036111221146,-15.823945637945092,6.578098425015918,0.3065542312564119,7.083977460861206,0.04367141640586848,0.040509269975807595,0.12058659829199314,4.141608116490272,1.2741976243846942,0.9332495046121424
NEG_034,NEG,16.034028362542326,15.974392826198963,-0.2230701662097137,-0.08933187067227909,-15.866909409874573,6.512607269171841,0.30155570071033205,7.003862023353577,0.042400989931032404,0.039905607910834494,0.11877965740859509,4.111886580016922,1.2401501477621033,0.9311958397440228
NEG_011,NEG,16.10542373746911,16.046089637975776,-0.17804239623571208,-0.06287674991832508,-15.93517219329104,6.531941649077246,0.3029346540792297,7.035638451576233,0.04442942496425569,0.038225979356339514,0.11609476990997791,4.037087189962305,1.219205647287816,0.9337609448051959
NEG_019,NEG,16.164023051523483,16.10484664017082,-0.4533296157457363,-0.06180103275468895,-16.01647902310705,6.432294141513107,0.29297199482267067,6.913231253623962,0.039920940940257416,0.0380946917358909,0.11608552001416683,3.9989665002549124,1.274462848104279,0.9285313294980587
