file,se_mean,se_std,se_p95,flatness_mean,flatness_std,flatness_p95,te_rms,mse_env,harm_ratio,domain,OAAS1,OAAS2,OAAS3
W1_01.wav,3.506444514005349,0.8798505216128728,4.652326148279988,0.0007833309762417,0.0130643246956345,8.810372323515974e-05,14.70451151077668,7.106713619220181,0.4214219648679881,music,-0.5954207642815079,-1.4797441140409884,0.4604206426898302
W1_02.wav,3.471075751290132,0.7357827381747284,4.529677058994157,0.0003920871629142,0.0083974949518708,5.02486765301896e-05,14.14671642225299,8.484064977059647,0.5773618466873848,music,-1.116817403868397,-1.4342238267193366,-0.3139037111596099
W1_03.wav,2.8522735710202767,1.229430858962464,4.094769715520547,0.0048539880145625,0.0287260929385536,0.0007861075992405,14.24790577109498,8.083853501973369,0.4743104109424256,music,-0.1694911472400826,-1.900905082404048,-0.2122287161532131
W1_04.wav,3.293341536416306,1.1038300411383146,4.352048686281415,0.0036542294387509,0.0215943985266093,0.0019758631148552,13.764072926108812,7.799023755429848,0.3830717360211045,music,-0.442746035370773,-1.0783481122644452,-0.7821415887360239
W1_05.wav,5.144571886644219,2.786630696999665,9.544344420735516,0.0625242396638798,0.0850818576156677,0.2057514057734021,17.603779190041916,7.0957485547025385,0.2376010222777728,music,8.985567892323187,-0.8812156163891499,4.095816874619465
W1_06.wav,2.7588507950559897,0.5926808541028786,3.548876869128978,0.0003005365906176,0.0060074376850751,6.274779174937006e-06,14.726639316020952,7.369971504540371,0.4243432804008157,music,-1.4646175181297023,-2.071304201015194,0.5881270418921913
W1_07.wav,2.864354108726891,1.0543495069076154,3.63327298241127,0.0033579566531766,0.0225431993673986,9.91767480751554e-07,14.773644007746457,6.87999070962606,0.3385860226759109,music,-0.4527137649904876,-1.9973330426520173,0.6022435346229734
W1_08.wav,3.7131555823582256,1.052667675013446,4.939981985935728,0.003013042153255,0.0151840082016971,0.0076255714519185,14.188295151320393,8.122916544995922,0.1587137647167486,music,-0.2143447074545362,0.2020483861975167,0.1093471158262034
W2_01.wav,3.557175861177174,0.9057889001835748,4.974690695874003,0.0001313125657097,0.0004695472409769,0.0003754355744158,14.203482650889493,8.044787414726114,0.2530500932570647,music,-0.8037534316209027,-0.1290502014635611,0.1416404997142027
W2_02.wav,3.0861742065297584,0.6735809343566076,4.085739061681792,0.0001309118929103,0.0010595305639087,0.0001974241034193,14.51422556795222,8.949348801991809,0.2856700750374502,music,-1.320526282743118,-0.5611960931601331,0.6394307513890143
W2_03.wav,3.0690766882867093,0.7446474864954608,4.279059863119936,3.676779246436149e-05,0.0005681327065456,8.306339318654063e-05,14.045492414213276,8.041765475849525,0.2167993018409905,music,-1.289235236184213,-0.4053410624885935,-0.0390592705250352
W2_04.wav,3.4269769509705994,1.1528760757922734,5.119447652365202,0.0046598443450391,0.020844063925477,0.0170224109487118,13.767741553403503,7.625635341881859,0.3073167967863943,music,-0.0225159753839707,-0.6016116350690116,-0.762103047825078
W2_05.wav,3.856287664121036,1.055354351838757,4.936763272758967,0.0050653155878877,0.0253299876680835,0.0104458054281685,14.126810886632766,8.71869068153847,0.2405870093875828,music,0.0135347625511813,0.0928550803814571,-0.0895012506068431
