file,domain,domain_canon,OAAS1,OAAS2,OAAS3,d_pos_euclid,d_neg_euclid
W1_01.wav,music,music,-0.5954207642815079,-1.4797441140409884,0.4604206426898302,3.802538900397483,3.9751632589198
W1_02.wav,music,music,-1.116817403868397,-1.4342238267193366,-0.3139037111596099,3.8229831062573685,4.0564747241653025
W1_03.wav,music,music,-0.1694911472400826,-1.900905082404048,-0.2122287161532131,4.238075960130579,4.3261236828608665
W1_04.wav,music,music,-0.442746035370773,-1.0783481122644452,-0.7821415887360239,3.5141271722046845,3.629881810886541
W1_05.wav,music,music,8.985567892323187,-0.8812156163891499,4.095816874619465,10.752137523032427,10.268861924039378
W1_06.wav,music,music,-1.4646175181297023,-2.071304201015194,0.5881270418921913,4.507454193468381,4.785165640864773
W1_07.wav,music,music,-0.4527137649904876,-1.9973330426520173,0.6022435346229734,4.329942012013191,4.476535899564724
W1_08.wav,music,music,-0.2143447074545362,0.2020483861975167,0.1093471158262034,2.1259035064540157,2.232605194656443
W2_01.wav,music,music,-0.8037534316209027,-0.1290502014635611,0.1416404997142027,2.4575004483171154,2.705471704452987
W2_02.wav,music,music,-1.320526282743118,-0.5611960931601331,0.6394307513890143,3.0260481880031587,3.3573874458359554
W2_03.wav,music,music,-1.289235236184213,-0.4053410624885935,-0.0390592705250352,2.8345869848687784,3.15380399939325
W2_04.wav,music,music,-0.0225159753839707,-0.6016116350690116,-0.762103047825078,3.087072826954953,3.1204851484113174
W2_05.wav,music,music,0.0135347625511813,0.0928550803814571,-0.0895012506068431,2.286435719340867,2.321010916551242
W2_06.wav,music,music,-0.3127923944003612,-1.5852189185404453,0.52690774265012,3.9163881415931976,4.044422513816823
W2_07.wav,music,music,-0.7085055580404035,-0.6062736230167382,0.5913361004655153,2.955854439039559,3.174655619986536
W3_01.wav,music,music,-0.8033387393291499,-0.6403811691533136,-0.1593848456902387,2.981714707116326,3.195389941099669
W3_02.wav,music,music,-1.3025365816949095,-0.589676287494638,0.6434697846277757,3.0489066434267293,3.375578067769377
