file,domain,OAAS1,OAAS2,OAAS3,d_pos_euclid,d_neg_euclid,delta_euclid
W7_07.wav,music,1.915285260665352,-2.674754383630324,-1.5536603353499985,5.435341786395151,3.1729349007755183,-2.2624068856196327
Negative_02_part3.wav,challenge_reference,-0.0030316027199865,-0.5184714444546679,-3.056790787262164,4.054280772841859,2.0019077431784424,-2.052373029663417
Negative_03.wav,challenge_reference,1.877633713339855,-0.5952803237737669,-3.4916068900313624,4.926142143957697,2.878213944578974,-2.047928199378723
W8_06.wav,music,0.4675865255883913,-1.2495465712761242,-0.5988446839180059,3.426564039525259,1.4105395751205871,-2.016024464404672
W6_05.wav,music,0.4675865255883913,-1.2495465712761242,-0.5988446839180059,3.426564039525259,1.4105395751205871,-2.016024464404672
W4_04.wav,music,-0.0225159753839707,-0.6016116350690116,-0.762103047825078,2.773296456663986,0.8226819629355578,-1.950614493728428
W2_04.wav,music,-0.0225159753839707,-0.6016116350690116,-0.762103047825078,2.773296456663986,0.8226819629355578,-1.950614493728428
W1_04.wav,music,-0.442746035370773,-1.0783481122644452,-0.7821415887360239,3.2303814074046984,1.3982810960882668,-1.832100311316432
W10_04.wav,music,-0.442746035370773,-1.0783481122644452,-0.7821415887360239,3.2303814074046984,1.3982810960882668,-1.832100311316432
W3_05.wav,music,-0.1635679048250887,0.2168373706419207,-1.5717503166116769,2.458061684679816,0.6561427455493342,-1.8019189391304813
ShortReunion__SW__02.wav,vocalization,0.3349752384611582,3.092357559691321,0.2174224385354086,1.22747163022476,3.352509201101768,2.125037570877008
ShortReunion__SW__01.wav,vocalization,0.3374940284454479,3.1051500427349463,0.2221975053199616,1.2403098077658483,3.3661510080385995,2.1258412002727507
MissedNursing__SW__02.wav,vocalization,-0.1071526877108738,2.728327665559757,0.1405980155977676,0.7196650141086373,3.0194758665479657,2.2998108524393284
MissedNursing__SW__01.wav,vocalization,-0.113320859891498,2.740464094052476,0.1468041776667622,0.7306889202822652,3.033832834419855,2.3031439141375896
BeforeNursing__SW__01.wav,vocalization,-0.2922050822597513,3.0221539943609432,0.1409542140994785,0.996665498578576,3.31312287790828,2.3164573793297043
BeforeNursing__SW__02.wav,vocalization,-0.2954382376960834,3.012921388784592,0.1374162268421566,0.9873727709769248,3.3040068225686614,2.3166340515917367
AfterNursing__SW__01.wav,vocalization,-0.082980563405053,2.855170533451856,0.276666356461388,0.867599028287396,3.188876748620112,2.3212777203327155
AfterNursing__SW__02.wav,vocalization,-0.0831842857693972,2.841607223418773,0.2734965236174368,0.8539305812188668,3.175484673213184,2.321554091994317
Huddling__SW__02.wav,vocalization,-0.2823655191520475,2.2828937199085586,0.1183489062674955,0.2581732865240815,2.652845883829655,2.3946725973055734
Huddling__SW__01.wav,vocalization,-0.278840852667629,2.266418880509072,0.1134171055007872,0.2410282923381518,2.6357258420232563,2.3946975496851044
